,Test,Time,Mdn DNS (ms),Mdn SSL (ms),Avg Time To First Byte (ms),Mdn Webpage Response (ms),Mdn Render Start (ms),Avg Image Bytes,Avg Script Bytes,Avg Css Bytes,% Availability,# Runs
0,[204709] - trip.com,11/1/2017 0:00,287.5,,584.58,9762.5,1048,750792.42,547889.58,10758.67,91.667,12
1,[204709] - trip.com,11/1/2017 2:00,254.5,,904,8726,1049,674683.25,582856.67,10772.5,100,12
2,[204709] - trip.com,11/1/2017 4:00,228,,419.91,9611,897,734774.91,578993.36,10761,100,11
3,[204709] - trip.com,11/1/2017 6:00,180,,626.85,9992,1402,787461.77,584607.54,10760.77,100,13
4,[204709] - trip.com,11/1/2017 8:00,227,,387,8654,1197,734543.82,579352.91,10764.73,100,11
5,[204709] - trip.com,11/1/2017 10:00,226,,373.08,10254,1196.5,757619.5,577838.33,10769.17,100,12
6,[204709] - trip.com,11/1/2017 12:00,257,,368.17,10152,1104,750970.17,580776.25,10760.83,91.667,12
7,[204709] - trip.com,11/1/2017 14:00,255.5,,528.83,13096,1394,796926.25,553361.75,10757.75,91.667,12
8,[204709] - trip.com,11/1/2017 16:00,271.5,,742,9423.5,1256,699551.5,579641.08,10776.42,100,12
9,[204709] - trip.com,11/1/2017 18:00,301.5,,411.67,9843,946.5,635782.92,560432.17,10759.92,91.667,12
10,[204709] - trip.com,11/1/2017 20:00,154,,958.67,8659,1399,740065.45,550903.55,10761.73,83.333,12
11,[204709] - trip.com,11/1/2017 22:00,310.5,,1073.83,8964.5,1099,786322.67,586163.17,10763.25,91.667,12
12,[204709] - trip.com,11/2/2017 0:00,277.5,,419.5,8799,1193.5,724576.58,580468.08,10766.75,100,12
13,[204709] - trip.com,11/2/2017 2:00,204.5,,397.42,8297,1197,698164.83,543366.33,10758.67,100,12
14,[204709] - trip.com,11/2/2017 4:00,245.5,,380.17,10219.5,1244.5,806570,581835.08,10755.83,100,12
15,[204709] - trip.com,11/2/2017 6:00,278,,486.83,9508.5,1148.5,672404.92,547409,10773.42,91.667,12
16,[204709] - trip.com,11/2/2017 8:00,218,,317.25,8096.5,896.5,701047.25,581647.75,10764.75,100,12
17,[204709] - trip.com,11/2/2017 10:00,224.5,,618.33,8648.5,1245,694809.08,546811.42,10763,91.667,12
18,[204709] - trip.com,11/2/2017 12:00,379,,748.64,9092,1296,827738,582787.45,10756.36,81.818,11
19,[204709] - trip.com,11/2/2017 14:00,278,,476.15,10181,1097,736877.46,579089.31,10773.54,92.308,13
20,[204709] - trip.com,11/2/2017 16:00,287.5,,787.58,8552.5,1001.5,663003.17,580920,10763.17,100,12
21,[204709] - trip.com,11/2/2017 18:00,268,,1163.75,9880.5,1261,773017.18,582352.09,10757.45,91.667,12
22,[204709] - trip.com,11/2/2017 20:00,347,,871.27,9503,1197,742568.27,581914.27,10762.91,100,11
23,[204709] - trip.com,11/2/2017 22:00,284,,395.15,9308,999,698139.38,579966.46,10766.77,92.308,13
24,[204709] - trip.com,11/3/2017 0:00,196,,297.45,9630,1080,730960.18,579957.91,10759.09,90.909,11
25,[204709] - trip.com,11/3/2017 2:00,186,,545.46,9774,1210,815949.38,582045.77,10760.62,100,13
